Page ID,Section name,H1,Current URL,Current page path,New page path,Hierarchy level,Page type,Content section,Queries,Level of factual updates,HR owner (information provider and approver),Sitemap queries for HR,Additional migration instructions,Page template,Hide from nav,CMS preview,CMS edit
,Human Resources (HR),,https://www.york.ac.uk/admin/hr/,/admin/hr/,/hr/,1,Landing page,01 Landing page,None,Major rewrite required,HRLT,,To be built manually. Prototype developed with the layout. Content to be refined.,Custom,FALSE,Preview,Edit
,My employment,,,,/hr/employment,2,Category page,02 My employment,None,New page,Laura McIlroy,,"Build as a category page with panels to link to the level 3 child pages. Mock up already build as a starting point.

Also add a link to the PDR section within 'Management teams and recruitment'",Custom,FALSE,Preview,Edit
,Pay and grading,,https://www.york.ac.uk/admin/hr/browse/pay-and-grading,/browse/pay-and-grading,/hr/employment/pay-grading/,3,Index page,03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,Move main links into a 'searchable list/table' content type,Browse listing page,FALSE,Preview,Edit
,Getting paid,,https://www.york.ac.uk/admin/hr/browse/pay-and-grading/getting-paid,/browse/pay-and-grading/getting-paid,/hr/employment/pay-grading/getting-paid/,4,Index page,03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,,Browse listing page,FALSE,Preview,Edit
,Pay day,,https://www.york.ac.uk/admin/hr/pay-and-grading/getting-paid/pay-day/,/admin/hr/pay-and-grading/getting-paid/pay-day/,/hr/employment/pay-grading/getting-paid/pay-day/,5,Information page,03 My employment (pay and grading),None,Fine as is,Matt Ramm,,Use a simple bullet list for the dates. We're not having an automated way of generating the next pay date for the bronze lift and shoft phase.,answer-template-2017,FALSE,Preview,Edit
,Updating your bank details,,https://www.york.ac.uk/admin/hr/pay-and-grading/getting-paid/updating-bank-details/,/admin/hr/pay-and-grading/getting-paid/updating-bank-details/,/hr/employment/pay-grading/getting-paid/updating-bank-details/,5,Information page,03 My employment (pay and grading),None,Minor updates actioned,Matt Ramm,,,answer-template-2017,FALSE,Preview,Edit
,Hourly rates,,https://www.york.ac.uk/admin/hr/browse/pay-and-grading/hourly-rates,/browse/pay-and-grading/hourly-rates,/hr/employment/pay-grading/hourly-rates/,4,Index page,03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,,Browse listing page,FALSE,Preview,Edit
,Graduate teaching assistants,,https://www.york.ac.uk/admin/hr/pay-and-grading/hourly-rates/gta/,/admin/hr/pay-and-grading/hourly-rates/gta/,/hr/employment/pay-grading/hourly-rates/gta,5,Information page,03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,,answer-template-2017,FALSE,Preview,Edit
,Other temporary and casual workers,,https://www.york.ac.uk/admin/hr/pay-and-grading/hourly-rates/other-rates/,/admin/hr/pay-and-grading/hourly-rates/other-rates/,/hr/employment/pay-grading/hourly-rates/other,5,Information page (non standard),03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,Has a filterable table,answer-template-2017,FALSE,Preview,Edit
,Part-time teachers,,https://www.york.ac.uk/admin/hr/pay-and-grading/hourly-rates/part-time-teachers/,/admin/hr/pay-and-grading/hourly-rates/part-time-teachers/,/hr/employment/pay-grading/hourly-rates/part-time-teachers,5,Information page,03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,,answer-template-2017,FALSE,Preview,Edit
,Pay scales,,https://www.york.ac.uk/admin/hr/browse/pay-and-grading/pay-scales,/browse/pay-and-grading/pay-scales,/hr/employment/pay-grading/pay-scales/,4,Index page,03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,Move main links into a 'searchable list/table' content type,Browse listing page,FALSE,Preview,Edit
,Apprentices,,https://www.york.ac.uk/admin/hr/pay-and-grading/pay-scales/apprentices/,/admin/hr/pay-and-grading/pay-scales/apprentices/,/hr/employment/pay-grading/pay-scales/apprentices,5,Information page,03 My employment (pay and grading),None,Fine as is,Louise Abrahams,,,answer-template-2017,FALSE,Preview,Edit
